DATEMONTHINT,STATION,PERIOD,RIDERS_PER_WEEKDAY,
201009,New York Ave,Midday,1474.5,
201009,New York Ave,PM Peak,3030.8,
201009,Pentagon,AM Peak,7077.8,
201009,Pentagon,Evening,641.9,
201009,Pentagon,Late Night Peak,4.2,
201009,Pentagon,Midday,3083,
201009,Pentagon,PM Peak,5882.2,
201009,Pentagon City,AM Peak,5762,
201009,Pentagon City,Evening,2300.8,
201009,Pentagon City,Late Night Peak,24.8,
201009,Pentagon City,Midday,3511,
201009,Pentagon City,PM Peak,4481.2,
201009,Potomac Avenue,AM Peak,2092,
201009,Potomac Avenue,Evening,328.4,
201009,Potomac Avenue,Late Night Peak,11.9,
201009,Potomac Avenue,Midday,882.6,
201009,Potomac Avenue,PM Peak,663.5,
201009,Prince George's Plaza,AM Peak,2250.1,
201009,Prince George's Plaza,Evening,627.7,
201009,Prince George's Plaza,Late Night Peak,19.3,
201009,Prince George's Plaza,Midday,1261,
201009,Prince George's Plaza,PM Peak,1158,
201009,Reagan Washington National Airport,AM Peak,768.9,
201009,Reagan Washington National Airport,Evening,1375.6,
201009,Reagan Washington National Airport,Late Night Peak,16.8,
201009,Reagan Washington National Airport,Midday,1933.2,
201009,Reagan Washington National Airport,PM Peak,1794.1,
201009,Rhode Island Avenue,AM Peak,2162.1,
201009,Rhode Island Avenue,Evening,496.4,
201009,Rhode Island Avenue,Late Night Peak,9.9,
201009,Rhode Island Avenue,Midday,1346.7,
201009,Rhode Island Avenue,PM Peak,1217.3,
201009,Rockville,AM Peak,2429.9,
201009,Rockville,Evening,394.9,
201009,Rockville,Late Night Peak,10,
201009,Rockville,Midday,1038.6,
201009,Rockville,PM Peak,1053.8,
201009,Rosslyn,AM Peak,4631.9,
201009,Rosslyn,Evening,1828.2,
201009,Rosslyn,Late Night Peak,44,
201009,Rosslyn,Midday,3504.1,
201009,Rosslyn,PM Peak,7343,
201009,Shady Grove,AM Peak,9847.1,
201009,Shady Grove,Evening,405.3,
201009,Shady Grove,Late Night Peak,6.1,
201009,Shady Grove,Midday,2068.2,
201009,Shady Grove,PM Peak,1290,
201009,Shaw-Howard University,AM Peak,1194.6,
201009,Shaw-Howard University,Evening,729.8,
201009,Shaw-Howard University,Late Night Peak,30.1,
201009,Shaw-Howard University,Midday,1256.2,
201009,Shaw-Howard University,PM Peak,1796,
201009,Silver Spring,AM Peak,5985.6,
201009,Silver Spring,Evening,1195,
201009,Silver Spring,Late Night Peak,32.6,
201009,Silver Spring,Midday,2740,
201009,Silver Spring,PM Peak,3123.2,
201009,Smithsonian,AM Peak,332.5,
201009,Smithsonian,Evening,1039.3,
201009,Smithsonian,Late Night Peak,15.4,
201009,Smithsonian,Midday,2148.6,
201009,Smithsonian,PM Peak,7234.6,
201009,Southern Avenue,AM Peak,3937.6,
201009,Southern Avenue,Evening,315.7,
201009,Southern Avenue,Late Night Peak,7.2,
201009,Southern Avenue,Midday,981.2,
201009,Southern Avenue,PM Peak,531.4,
201009,Stadium-Armory,AM Peak,1144,
201009,Stadium-Armory,Evening,420.4,
201009,Stadium-Armory,Late Night Peak,11,
201009,Stadium-Armory,Midday,654.8,
201009,Stadium-Armory,PM Peak,762.2,
201009,Suitland,AM Peak,3988.9,
201009,Suitland,Evening,362.7,
201009,Suitland,Late Night Peak,6.5,
201009,Suitland,Midday,1081.7,
201009,Suitland,PM Peak,1214.7,
201009,Takoma,AM Peak,3340.5,
201009,Takoma,Evening,426,
201009,Takoma,Late Night Peak,7.3,
201009,Takoma,Midday,1328.5,
201009,Takoma,PM Peak,1319.8,
201009,Tenleytown-AU,AM Peak,1866.1,
201009,Tenleytown-AU,Evening,1448.9,
201009,Tenleytown-AU,Late Night Peak,22.9,
201009,Tenleytown-AU,Midday,1579,
201009,Tenleytown-AU,PM Peak,2544.1,
201009,Twinbrook,AM Peak,2337.1,
201009,Twinbrook,Evening,311.5,
201009,Twinbrook,Late Night Peak,7.8,
201009,Twinbrook,Midday,928.1,
201009,Twinbrook,PM Peak,1089.3,
201009,U Street-Cardozo,AM Peak,1958,
201009,U Street-Cardozo,Evening,1501.5,
201009,U Street-Cardozo,Late Night Peak,271.5,
201009,U Street-Cardozo,Midday,1306.6,
201009,U Street-Cardozo,PM Peak,1675,
201009,Union Station,AM Peak,9818.1,
201009,Union Station,Evening,4091.1,
201009,Union Station,Late Night Peak,66.9,
201009,Union Station,Midday,5818.9,
201009,Union Station,PM Peak,12067.7,
201009,Van Dorn Street,AM Peak,2399.5,
201009,Van Dorn Street,Evening,207.3,
201009,Van Dorn Street,Late Night Peak,9.7,
201009,Van Dorn Street,Midday,633.9,
201009,Van Dorn Street,PM Peak,466.2,
201009,Van Ness-UDC,AM Peak,2786.9,
201009,Van Ness-UDC,Evening,997.1,
201009,Van Ness-UDC,Late Night Peak,9.8,
201009,Van Ness-UDC,Midday,1939.1,
201009,Van Ness-UDC,PM Peak,2562.2,
201009,Vienna,AM Peak,9937.5,
201009,Vienna,Evening,551.4,
201009,Vienna,Late Night Peak,11.2,
201009,Vienna,Midday,1886.6,
201009,Vienna,PM Peak,1376.9,
201009,Virginia Square-GMU,AM Peak,1807.8,
201009,Virginia Square-GMU,Evening,465.2,
201009,Virginia Square-GMU,Late Night Peak,7,
201009,Virginia Square-GMU,Midday,737.3,
201009,Virginia Square-GMU,PM Peak,1189,
201009,Waterfront,AM Peak,1220,
201009,Waterfront,Evening,455.8,
201009,Waterfront,Late Night Peak,20.2,
201009,Waterfront,Midday,1000.6,
201009,Waterfront,PM Peak,1231.1,
201009,West Falls Church,AM Peak,6780,
201009,West Falls Church,Evening,523.8,
201009,West Falls Church,Late Night Peak,5.2,
201009,West Falls Church,Midday,1564.1,
201009,West Falls Church,PM Peak,1692.3,
201009,West Hyattsville,AM Peak,2127.5,
201009,West Hyattsville,Evening,245.5,
201009,West Hyattsville,Late Night Peak,7.1,
201009,West Hyattsville,Midday,839.9,
201009,West Hyattsville,PM Peak,539.2,
201009,Wheaton,AM Peak,2220.8,
201009,Wheaton,Evening,392.2,
201009,Wheaton,Late Night Peak,6.7,
201009,Wheaton,Midday,933.4,
201009,Wheaton,PM Peak,681.4,
201009,White Flint,AM Peak,1634.3,
201009,White Flint,Evening,340,
201009,White Flint,Late Night Peak,8.5,
201009,White Flint,Midday,798.5,
201009,White Flint,PM Peak,1432.3,
201009,Woodley Park-Zoo,AM Peak,2745.2,
201009,Woodley Park-Zoo,Evening,954.7,
201009,Woodley Park-Zoo,Late Night Peak,130.9,
201009,Woodley Park-Zoo,Midday,1719.8,
201009,Woodley Park-Zoo,PM Peak,1663,
201010,Addison Road,AM Peak,2298,
