"Group.1","Group.2","Group.3","x"
20018,"Tuesday","02",1.08290289256198
20019,"Tuesday","02",1.03176774193548
20020,"Tuesday","02",1.0337056688076
20024,"Tuesday","02",1.05302013422819
20032,"Tuesday","02",1.07243195785777
20036,"Tuesday","02",1.209375
20037,"Tuesday","02",1.18058035714286
20217,"Tuesday","02",1.2175
20373,"Tuesday","02",1.07083333333333
20392,"Tuesday","02",1.0536
20540,"Tuesday","02",1.07875
20001,"Wednesday","02",1.134046692607
20002,"Wednesday","02",1.01862125789618
20003,"Wednesday","02",1.00536261491318
20004,"Wednesday","02",1.13196721311475
20005,"Wednesday","02",1.21990049751244
20006,"Wednesday","02",1.21161971830986
20007,"Wednesday","02",1.03714285714286
20008,"Wednesday","02",1.0505376344086
20009,"Wednesday","02",1.14134235758601
20010,"Wednesday","02",1.03694539249147
20011,"Wednesday","02",1.01774483378257
20012,"Wednesday","02",1.01357142857143
20015,"Wednesday","02",1.03181818181818
20016,"Wednesday","02",1.03048507462687
20017,"Wednesday","02",1.03477337110482
20018,"Wednesday","02",1.02293773283662
20019,"Wednesday","02",1.00717867511217
20020,"Wednesday","02",1.01023842917251
20024,"Wednesday","02",1.01702610669694
20032,"Wednesday","02",1.00941901408451
20036,"Wednesday","02",1.20125
20037,"Wednesday","02",1.18487584650113
20217,"Wednesday","02",1.158125
20373,"Wednesday","02",1
20392,"Wednesday","02",1.01269841269841
20540,"Wednesday","02",1.00625
20001,"Friday","03",1.00708092485549
20002,"Friday","03",1.00233632165173
20003,"Friday","03",1.00122199592668
20004,"Friday","03",1.02276422764228
20005,"Friday","03",1.02814569536424
20006,"Friday","03",1.04084507042254
20007,"Friday","03",1.01368252271513
20008,"Friday","03",1.02504288164666
20009,"Friday","03",1.04630350194553
20010,"Friday","03",1.02356846473029
20011,"Friday","03",1.01178322464583
20012,"Friday","03",1.00537634408602
20015,"Friday","03",1.0072976054732
20016,"Friday","03",1.00850751741841
20017,"Friday","03",1.01048557353976
20018,"Friday","03",1.00764857881137
20019,"Friday","03",1.00614307931571
20020,"Friday","03",1.00403426360873
20024,"Friday","03",1.00483146067416
20032,"Friday","03",1.00359281437126
20036,"Friday","03",1.065625
20037,"Friday","03",1.0627802690583
20217,"Friday","03",1.00125
20373,"Friday","03",1
20392,"Friday","03",1.0015625
20540,"Friday","03",1
20001,"Monday","03",1.0948224852071
20002,"Monday","03",1.03518159135015
20003,"Monday","03",1.01698601760746
20004,"Monday","03",1.07345132743363
20005,"Monday","03",1.12684563758389
20006,"Monday","03",1.08905109489051
20007,"Monday","03",1.0316393442623
20008,"Monday","03",1.06162489196197
20009,"Monday","03",1.10836197021764
20010,"Monday","03",1.0733843537415
20011,"Monday","03",1.02491031390135
20012,"Monday","03",1.02151785714286
20015,"Monday","03",1.01971590909091
20016,"Monday","03",1.03028037383178
20017,"Monday","03",1.03448033707865
20018,"Monday","03",1.0240170031881
20019,"Monday","03",1.01822079314041
20020,"Monday","03",1.01304718590108
20024,"Monday","03",1.01859931113662
20032,"Monday","03",1.03511852502195
20036,"Monday","03",1.098125
20037,"Monday","03",1.09246575342466
20217,"Monday","03",1.10125
20373,"Monday","03",1.02131147540984
20392,"Monday","03",1.03508771929825
20540,"Monday","03",1.006875
20001,"Saturday","03",1.34301703163017
20002,"Saturday","03",1.14774456521739
20003,"Saturday","03",1.05759109311741
20004,"Saturday","03",1.1093023255814
20005,"Saturday","03",1.38951747088186
20006,"Saturday","03",1.22178571428571
20007,"Saturday","03",1.08319057815846
20008,"Saturday","03",1.14469178082192
20009,"Saturday","03",1.37023675310034
20010,"Saturday","03",1.25669491525424
20011,"Saturday","03",1.09798206278027
20012,"Saturday","03",1.05508928571429
20015,"Saturday","03",1.07323863636364
20016,"Saturday","03",1.08818080770656
20017,"Saturday","03",1.14600280504909
20018,"Saturday","03",1.16096033402923
20019,"Saturday","03",1.05412317327766
20020,"Saturday","03",1.03495844875346
20024,"Saturday","03",1.06071829405163
20032,"Saturday","03",1.04463742943986
20036,"Saturday","03",1.28125
20037,"Saturday","03",1.24740406320542
20217,"Saturday","03",1.285
20373,"Saturday","03",1.00983606557377
20392,"Saturday","03",1.05
20540,"Saturday","03",1.028125
20001,"Sunday","03",1.5744140625
20002,"Sunday","03",1.38489683631362
20003,"Sunday","03",1.18453661034306
20004,"Sunday","03",1.20833333333333
20005,"Sunday","03",1.63902847571189
20006,"Sunday","03",1.37056737588652
20007,"Sunday","03",1.1692390717755
20008,"Sunday","03",1.3053809728799
20009,"Sunday","03",1.64613212874082
20010,"Sunday","03",1.45232067510549
20011,"Sunday","03",1.19833857207005
20012,"Sunday","03",1.11053571428571
20015,"Sunday","03",1.13210227272727
20016,"Sunday","03",1.19030100334448
20017,"Sunday","03",1.33087719298246
20018,"Sunday","03",1.56531365313653
20019,"Sunday","03",1.21971496437055
20020,"Sunday","03",1.12051137960101
20024,"Sunday","03",1.15554285714286
20032,"Sunday","03",1.10022007042254
20036,"Sunday","03",1.48375
20037,"Sunday","03",1.4
20217,"Sunday","03",1.535
20373,"Sunday","03",1.11101694915254
20392,"Sunday","03",1.07177419354839
20540,"Sunday","03",1.150625
20001,"Thursday","03",1.020703125
20002,"Thursday","03",1.01229111697449
20003,"Thursday","03",1.00644499178982
20004,"Thursday","03",1.00559440559441
20005,"Thursday","03",1.02313829787234
20006,"Thursday","03",1.01174785100287
20007,"Thursday","03",1.04594360086768
20008,"Thursday","03",1.02182444061962
20009,"Thursday","03",1.03179138321995
20010,"Thursday","03",1.02242547425474
20011,"Thursday","03",1.02365301724138
20012,"Thursday","03",1.00828571428571
20015,"Thursday","03",1.01
20016,"Thursday","03",1.03470115967886
20017,"Thursday","03",1.0251273344652
20018,"Thursday","03",1.00836501901141
20019,"Thursday","03",1.03586104638848
20020,"Thursday","03",1.00436355414877
20024,"Thursday","03",1.00356489945155
20032,"Thursday","03",1.00408805031447
20036,"Thursday","03",1.0305
20037,"Thursday","03",1.02585895117541
20217,"Thursday","03",1.016
20373,"Thursday","03",1
20392,"Thursday","03",1.07218543046358
20540,"Thursday","03",1
20001,"Tuesday","03",1.07416221466731
20002,"Tuesday","03",1.04498496857065
20003,"Tuesday","03",1.0260358056266
20004,"Tuesday","03",1.0525
20005,"Tuesday","03",1.0936877076412
20006,"Tuesday","03",1.0711743772242
20007,"Tuesday","03",1.03557588805167
20008,"Tuesday","03",1.04851612903226
20009,"Tuesday","03",1.12038396386222
20010,"Tuesday","03",1.08793969849246
20011,"Tuesday","03",1.03382649630128
20012,"Tuesday","03",1.02455357142857
20015,"Tuesday","03",1.01585227272727
20016,"Tuesday","03",1.02722532588454
20017,"Tuesday","03",1.04818181818182
20018,"Tuesday","03",1.03891521853607
20019,"Tuesday","03",1.03192105263158
20020,"Tuesday","03",1.02213068181818
20024,"Tuesday","03",1.03302857142857
20032,"Tuesday","03",1.04045698924731
20036,"Tuesday","03",1.08125
20037,"Tuesday","03",1.07274774774775
20217,"Tuesday","03",1.058125
20373,"Tuesday","03",1.02393162393162
20392,"Tuesday","03",1.02689075630252
20540,"Tuesday","03",1.01875
20001,"Wednesday","03",1.02046929605592
20002,"Wednesday","03",1.01781593019983
20003,"Wednesday","03",1.00784823284823
20004,"Wednesday","03",1.02429906542056
20005,"Wednesday","03",1.04779661016949
20006,"Wednesday","03",1.03670411985019
20007,"Wednesday","03",1.03245515695067
20008,"Wednesday","03",1.01818973020017
