"","lon","lat"
"177",-77.006181414,38.8975462563
"178",-77.0330084124,38.9388263059
"179",-77.0219132718,38.9008779086
"180",-77.0095614423,38.8981258068
"181",-76.9335333121,38.8816112376
"182",-77.0797670711,38.9334395739
"183",-77.0125961887,38.8950245692
"184",-77.0267316141,38.9309127648
"185",-76.9729884367,38.8532625108
"186",-77.0451598797,38.9098958927
"187",-77.0247171076,38.9402176126
"188",-77.0109145466,38.8767733945
"189",-77.0005728618,38.9202358292
"190",-77.0175711797,38.9750433178
"191",-77.0253197533,38.9420469776
"192",-77.0398354936,38.9021835277
"193",-77.0459008185,38.9156818413
"194",-77.0135154765,38.9149866146
"195",-77.0466663329,38.8973612268
"196",-77.0048632562,38.8339900699
"197",-76.9366531801,38.9097280912
"198",-76.9947129959,38.9020473278
"199",-76.9887963785,38.8647312481
"200",-77.0721391341,38.9314310837
"201",-76.989240045,38.8654456993
"202",-77.0167774246,38.9039337631
"203",-77.0429793878,38.9101497203
"204",-77.0097849338,38.8970352357
"205",-77.0281266572,38.8849828369
"206",-77.0731919303,38.9275367649
"207",-77.0301158086,38.9631544738
"208",-77.0529704838,38.9134318103
"209",-76.997690012,38.9054633024
"210",-76.9863573307,38.8593480497
"211",-76.9934636582,38.9296402431
"212",-77.03296067,38.9316136419
"213",-76.9924660805,38.930488856
"214",-77.0434314551,38.9140968957
"215",-77.0297060933,38.9418732562
"216",-76.970590351,38.8729904576
"217",-76.9665750059,38.8483095453
"218",-77.029958219,38.9294531764
"219",-77.0074701711,38.8321280632
"220",-77.0239718246,38.9085817181
"221",-77.0406402294,38.9040801401
"222",-77.0094360764,38.9064031455
"223",-76.9894334858,38.8663853846
"224",-77.0219213606,38.9029466266
"225",-77.0382207603,38.9184513352
"226",-77.0364003358,38.9562197507
"227",-77.0087305307,38.9029890347
"228",-76.989918282,38.9028627192
"229",-77.0253159202,38.9170053257
"230",-76.9771839132,38.9285922439
"231",-76.968492498,38.859279555
"232",-77.0300204823,38.8998355508
"233",-76.9881192991,38.9004001156
"234",-77.0156505928,38.9296597364
"235",-77.0234688135,38.9121602946
"236",-77.0742939508,38.9638031615
"237",-77.0091933727,38.9073096102
"238",-76.9906713254,38.8570778103
"239",-77.0725803303,38.9479069856
"240",-77.0002773323,38.9553016184
"241",-76.9789974055,38.9212992682
"242",-77.0296962806,38.961514088
"243",-76.9834447008,38.9001385406
"244",-76.9836461506,38.8966752478
"245",-76.9694946423,38.8977018644
"246",-77.0476661393,38.9009666286
"247",-77.0189336067,38.8998172448
"248",-77.0035168332,38.8920177447
"249",-76.9405570495,38.8865514396
"250",-77.0219167246,38.8998209212
"251",-77.0493430959,38.9096428497
"252",-76.9973917698,38.8450965737
"253",-77.0345344669,38.9170098886
"254",-76.9832661718,38.8648437745
"255",-77.0432237572,38.905836202
"256",-77.0611372081,38.9026015006
"257",-76.9718441336,38.9177073142
"258",-76.9786653859,38.8697218904
"259",-76.9759689602,38.9326115984
